Name,NetWorth,Country,Source,Rank,Age,Industry
Wolfgang Reimann,$3.8 B,Germany,consumer goods,775,68,Fashion & Retail
Matthias Reimann-Andersen,$3.8 B,Germany,consumer goods,775,56,Fashion & Retail
Stefan Reimann-Andersen,$3.8 B,Germany,consumer goods,775,57,Fashion & Retail
Renate Reimann-Haas,$3.8 B,Germany,consumer goods,775,69,Fashion & Retail
Dirk Rossmann & family,$3.8 B,Germany,drugstores,775,74,Fashion & Retail
Maria-Elisabeth Schaeffler-Thumann,$3.7 B,Germany,auto parts,807,79,Automotive
Hubert Burda,$3.5 B,Germany,publishing,859,81,Media & Entertainment
Julia Thiele-Schuerhoff,$3.5 B,Germany,brakes,859,N/A,Manufacturing
Kevin David Lehmann,$3.3 B,Germany,drugstores,925,18,Fashion & Retail
Klaus-Peter Schulenberg,$3.3 B,Germany,ticketing service,925,N/A,Service
Otto Happel,$3.2 B,Germany,engineering,956,73,Construction & Engineering
Otto Philipp Braun,$3.1 B,Germany,medical technology,986,43,Healthcare
Wilhelm Beier & family,$3 B,Germany,pharmaceuticals,1008,64,Healthcare
Christian Haub,$3 B,Germany,retail,1008,56,Fashion & Retail
Gudrun Heine,$3 B,Germany,medical devices,1008,66,Healthcare
Friede Springer,$3 B,Germany,publishing,1008,78,Media & Entertainment
Sybill Storz,$3 B,Germany,medical devices,1008,84,Healthcare
Benjamin Otto,$2.9 B,Germany,retail,1064,N/A,Fashion & Retail
Bergit Douglas,$2.8 B,Germany,consumer goods,1111,74,Food & Beverage
Alfred Oetker,$2.8 B,Germany,consumer goods,1111,54,Fashion & Retail
August Oetker,$2.8 B,Germany,consumer goods,1111,76,Fashion & Retail
Carl Ferdinand Oetker,$2.8 B,Germany,consumer goods,1111,48,Fashion & Retail
Christian Oetker,$2.8 B,Germany,consumer goods,1111,72,Fashion & Retail
Julia Oetker,$2.8 B,Germany,consumer goods,1111,42,Fashion & Retail
Richard Oetker,$2.8 B,Germany,consumer goods,1111,70,Fashion & Retail
Karin Schick,$2.8 B,Germany,information technology,1111,N/A,Technology
Rosely Schweizer,$2.8 B,Germany,consumer goods,1111,80,Fashion & Retail
Stefan von Holtzbrinck,$2.8 B,Germany,publishing,1111,57,Media & Entertainment
Georg Haub,$2.7 B,Germany,retail,1174,59,Fashion & Retail
Franziska Wuerbser & Gabriella Meister,$2.7 B,Germany,appliances,1174,N/A,Manufacturing
Hans-Werner Hector,$2.5 B,Germany,SAP,1249,81,Technology
Hans Langer,$2.5 B,Germany,3D printing,1249,69,Manufacturing
Torsten Toeller,$2.5 B,Germany,pet food,1249,55,Fashion & Retail
Peter Unger,$2.5 B,Germany,auto repair,1249,76,Automotive
Yvonne Bauer,$2.4 B,Germany,media,1299,44,Media & Entertainment
Sebastian Glaser,$2.4 B,Germany,sensor technology,1299,N/A,Technology
Erwin Franz Mueller,$2.4 B,Germany,drugstores,1299,88,Fashion & Retail
Karin Sartorius-Herbst,$2.4 B,Germany,biopharmaceuticals,1299,N/A,Healthcare
Renate Sick-Glaser,$2.4 B,Germany,sensor technology,1299,N/A,Technology
Anna Katharina Viessmann,$2.2 B,Germany,heating and cooling equipment,1444,N/A,Manufacturing
Lutz Mario Helmig,$2.1 B,Germany,hospitals,1517,74,Healthcare
Dieter Schnabel,$2.1 B,Germany,chemicals,1517,75,Manufacturing
Christiane Schoeller,$2.1 B,Germany,publishing,1517,N/A,Media & Entertainment
Peter Leibinger,$2 B,Germany,machine tools,1580,54,Manufacturing
Regine Leibinger,$2 B,Germany,machine tools,1580,58,Manufacturing
Nicola Leibinger-Kammueller,$2 B,Germany,manufacturing,1580,61,Manufacturing
Sylvia Stroeher,$2 B,Germany,cosmetics,1580,65,Fashion & Retail
Horst Wortmann,$2 B,Germany,footwear,1580,79,Fashion & Retail
Josef Boquoi & family,$1.9 B,Germany,frozen foods,1664,87,Food & Beverage
Kurt Krieger,$1.9 B,Germany,furniture retailing,1664,73,Fashion & Retail
Joachim Ante,$1.8 B,Germany,game software,1750,38,Technology
Rolf Gerling,$1.8 B,Germany,insurance,1750,66,Finance & Investments
Martin Viessmann,$1.8 B,Germany,heating and cooling equipment,1750,67,Manufacturing
Alex Birkenstock,$1.7 B,Germany,shoes,1833,52,Fashion & Retail
Christian Birkenstock,$1.7 B,Germany,shoes,1833,48,Fashion & Retail
Bernd Freier,$1.7 B,Germany,fashion retail,1833,64,Fashion & Retail
Christoph Henkel,$1.7 B,Germany,consumer goods,1833,63,Fashion & Retail
Robert Toennies,$1.7 B,Germany,meat processing,1833,42,Food & Beverage
Bernhard Braun-Luedicke,$1.6 B,Germany,medical technology,1931,44,Healthcare
Eva Maria Braun-Luedicke,$1.6 B,Germany,medical technology,1931,34,Healthcare
Friederike Braun-Luedicke,$1.6 B,Germany,medical technology,1931,37,Healthcare
Lisa Draexlmaier,$1.6 B,Germany,auto parts,1931,30,Automotive
Clemens Toennies,$1.6 B,Germany,meat processing,1931,64,Food & Beverage
Ulrike Baro,$1.5 B,Germany,biopharmaceuticals,2035,N/A,Healthcare
Anna Maria Braun,$1.4 B,Germany,medical technology,2141,42,Healthcare
Johanna Braun,$1.4 B,Germany,medical technology,2141,41,Healthcare
Karl Friedrich Braun,$1.4 B,Germany,medical technology,2141,38,Healthcare
Christian Herz,$1.4 B,Germany,coffee,2141,N/A,Finance & Investments
Michaela Herz,$1.4 B,Germany,coffee,2141,N/A,Finance & Investments
Christine Knauf,$1.4 B,Germany,building materials,2141,N/A,Manufacturing
Karl Knauf,$1.4 B,Germany,building materials,2141,N/A,Manufacturing
Andreas Pohl,$1.4 B,Germany,mutual funds,2141,56,Finance & Investments
"Reinfried Pohl, Jr.",$1.4 B,Germany,mutual funds,2141,61,Finance & Investments
Oliver Samwer,$1.4 B,Germany,tech investments,2141,47,Technology
Ludwig Theodor Braun,$1.3 B,Germany,medical technology,2263,31,Healthcare
Ulrike Meister,$1.3 B,Germany,appliances,2263,54,Manufacturing
Dirk Stroeer,$1.3 B,Germany,advertising,2263,52,Media & Entertainment
Christian Bertermann,$1.2 B,Germany,used car sales,2378,37,Automotive
Mathias Doepfner,$1.2 B,Germany,Media,2378,58,Media & Entertainment
Wolfgang Egger,$1.2 B,Germany,real estate,2378,55,Real Estate
Hakan Koc,$1.2 B,Germany,online car sales,2378,36,Automotive
Udo Mueller,$1.2 B,Germany,advertising,2378,59,Media & Entertainment
Alexander Samwer,$1.2 B,Germany,tech investments,2378,46,Technology
Marc Samwer,$1.2 B,Germany,tech investments,2378,50,Technology
Ronald Slabke,$1.2 B,Germany,fintech,2378,N/A,Technology
Thomas Bruch,$1.1 B,Germany,retail,2524,70,Fashion & Retail
Hedda im Brahm-Droege,$1.1 B,Germany,investments,2524,66,Finance & Investments
Alexander Knauf,$1.1 B,Germany,building materials,2524,46,Manufacturing
Martin Knauf,$1.1 B,Germany,building materials,2524,N/A,Manufacturing
Robert Knauf,$1.1 B,Germany,building materials,2524,N/A,Manufacturing
Carsten Maschmeyer,$1.1 B,Germany,finance and investments,2524,61,Finance & Investments
Horst-Otto Gerberding,$1 B,Germany,flavors and fragrances,2674,68,Food & Beverage
